2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
120,128,Holland & Hart,267306000,667000,142,85467000,544000,189,0.82,198,508000,169,19598000,176,262000,38.17,401,157,50,207,1.55,32,213000,163,"The American Lawyer, May 18, 2021",
121,124,Kutak Rock,266967000,518000,187,134537000,499000,192,0.96,188,456000,180,15614000,157,291000,34.36,516,270,59,329,0.91,50,261000,135,"The American Lawyer, May 18, 2021",
122,121,Stinson,266186000,626000,158,102368000,801000,148,1.28,126,516000,165,43499000,137,343000,29.15,425,128,155,282,2.32,38,241000,145,"The American Lawyer, May 18, 2021",
123,122,Stroock & Stroock & Lavan,260600000,1104000,56,71476000,2166000,50,1.96,54,1353000,57,28644000,96,424000,23.58,236,33,41,74,6.15,27,303000,104,"The American Lawyer, May 18, 2021",
124,132,Stoel Rives,259328000,750000,124,99228000,919000,135,1.23,140,680000,128,39411000,103,401000,24.94,346,108,96,204,2.2,38,287000,115,"The American Lawyer, May 18, 2021",
125,129,Honigman,258828000,884000,88,142355000,1310000,94,1.48,100,884000,96,43995000,37,636000,15.72,293,109,102,211,1.69,55,486000,42,"The American Lawyer, May 18, 2021",
126,126,Dickinson Wright,255299000,575000,176,85273000,671000,171,1.17,149,485000,174,43243000,159,289000,34.6,444,127,138,265,2.5,33,192000,176,"The American Lawyer, May 18, 2021",
127,125,Vedder Price,255000000,946000,72,121000000,1041000,119,1.1,164,921000,87,16700000,61,511000,19.57,270,116,33,149,1.32,47,449000,54,"The American Lawyer, May 18, 2021",
128,127,McCarter & English,254138000,743000,126,80425000,946000,130,1.27,128,589000,149,35725000,138,340000,29.41,342,85,112,197,3.02,32,235000,147,"The American Lawyer, May 18, 2021",
129,139,Fisher & Phillips,252516000,600000,168,89517000,689000,164,1.15,156,524000,159,24151000,169,270000,37.04,421,130,87,217,2.24,35,213000,163,"The American Lawyer, May 18, 2021",
130,93,Boies Schiller Flexner,250000000,1412000,25,80000000,2286000,48,1.62,85,1407000,53,41000000,31,684000,14.62,177,35,51,86,4.06,32,452000,52,"The American Lawyer, May 18, 2021",
131,130,Frost Brown Todd,245739000,522000,185,83605000,540000,190,1.03,176,403000,189,38165000,181,259000,38.61,470,155,147,302,2.04,34,178000,183,"The American Lawyer, May 18, 2021",
132,136,Winstead,241415000,841000,100,117057000,1471000,80,1.75,73,902000,91,12800000,85,452000,22.12,287,80,64,144,2.61,48,408000,66,"The American Lawyer, May 18, 2021",
133,131,Saul Ewing Arnstein & Lehr,240649000,657000,145,80368000,705000,163,1.07,170,519000,163,27646000,156,295000,33.9,366,114,94,208,2.21,33,220000,156,"The American Lawyer, May 18, 2021",
134,133,Thompson Hine,237956000,681000,139,77681000,863000,140,1.27,128,581000,150,41094000,138,340000,29.41,349,90,114,204,2.88,33,222000,155,"The American Lawyer, May 18, 2021",
135,140,Knobbe Martens,236000000,915000,78,101480000,642000,175,0.7,200,637000,135,1050000,106,397000,25.19,258,158,3,161,0.63,43,393000,67,"The American Lawyer, May 18, 2021",
136,138,Foley Hoag,232079000,850000,99,70316000,1379000,84,1.62,85,816000,104,39728000,101,403000,24.81,273,51,84,135,4.35,30,257000,138,"The American Lawyer, May 18, 2021",
137,146,Moore & Van Allen,227485000,753000,123,94306000,1225000,101,1.63,84,829000,103,30882000,98,414000,24.15,302,77,74,151,2.92,41,312000,97,"The American Lawyer, May 18, 2021",
138,148,Chapman and Cutler,226730000,987000,71,116370000,1293000,96,1.31,117,944000,81,15634000,46,575000,17.39,230,90,50,140,1.55,51,507000,40,"The American Lawyer, May 18, 2021",This firm's FY 2019 figures were restated.
139,137,"Marshall, Dennehey, Warner, Coleman & Goggin",224723000,453000,193,107342000,392000,198,0.87,194,392000,191,0,193,216000,46.3,496,274,0,274,0.81,48,216000,159,"The American Lawyer, May 18, 2021",
140,134,Wiley Rein,223842000,858000,97,84791000,1346000,89,1.57,89,1033000,75,34028000,83,455000,21.98,261,63,52,115,3.14,38,325000,88,"The American Lawyer, May 18, 2021",
141,135,Kelley Drye & Warren,221916000,874000,92,74585000,956000,129,1.09,166,792000,106,10190000,144,334000,29.94,254,78,29,107,2.26,34,294000,111,"The American Lawyer, May 18, 2021",
142,143,Kasowitz Benson Torres,219396000,945000,73,95360000,2300000,47,2.43,28,1441000,51,24555000,58,516000,19.38,232,41,42,83,4.6,43,411000,64,"The American Lawyer, May 18, 2021",
143,150,Ice Miller,217107000,692000,137,104032000,821000,146,1.19,145,695000,124,18917000,109,392000,25.51,314,127,50,177,1.47,48,332000,86,"The American Lawyer, May 18, 2021",
144,142,Brown Rudnick,216367000,945000,73,79686000,1207000,105,1.28,126,899000,93,25441000,77,459000,21.79,229,66,51,117,2.47,37,348000,79,"The American Lawyer, May 18, 2021",
145,149,Brownstein Hyatt Farber Schreck,215848000,892000,85,55624000,1112000,110,1.25,133,667000,130,39503000,108,393000,25.45,242,50,93,143,3.84,26,230000,150,"The American Lawyer, May 18, 2021",
146,156,Butler Snow,215731000,603000,167,90979000,563000,188,0.93,190,517000,164,28073000,147,333000,30.03,358,162,69,230,1.21,42,254000,141,"The American Lawyer, May 18, 2021",
147,144,Patterson Belknap Webb & Tyler,215033000,1175000,44,86954000,1812000,65,1.54,92,1813000,42,1878000,68,485000,20.62,183,48,1,49,2.81,40,475000,45,"The American Lawyer, May 18, 2021",
148,159,Buchalter,210162000,643000,151,94732000,627000,179,0.98,185,627000,137,0,158,290000,34.48,327,151,0,151,1.17,45,290000,113,"The American Lawyer, May 18, 2021",
149,147,Thompson Coburn,207538000,624000,159,88519000,642000,175,1.03,176,509000,168,26132000,135,345000,28.99,332,138,87,225,1.41,43,266000,131,"The American Lawyer, May 18, 2021",
150,,Lathrop GPM,204966000,646000,149,65338000,751000,155,1.16,154,514000,166,25055000,162,285000,35.09,317,87,89,176,2.65,32,206000,168,"The American Lawyer, May 18, 2021","Lathrop Gage merged with Gray Plant Mooty on Jan. 1, 2020 to become Lathrop GPM. Because this formed a new firm, references to 2019 are listed as N/A."
151,160,Kobre & Kim,202930000,1701000,7,63817000,2162000,51,1.27,128,2162000,31,0,54,535000,18.69,119,30,0,30,3.04,31,535000,37,"The American Lawyer, May 18, 2021",
152,145,Dykema Gossett,200713000,548000,179,55702000,591000,183,1.08,169,403000,189,28695000,187,230000,43.48,366,94,115,209,2.89,28,152000,189,"The American Lawyer, May 18, 2021",
153,155,Burr & Forman,199690000,587000,170,94533000,683000,167,1.16,154,496000,173,19221000,143,335000,29.85,340,138,91,229,1.46,47,278000,123,"The American Lawyer, May 18, 2021",
154,153,"Vorys, Sater, Seymour and Pease",197000000,575000,176,87000000,652000,174,1.13,160,576000,152,11653000,160,288000,34.72,343,133,38,171,1.57,44,254000,141,"The American Lawyer, May 18, 2021",
155,157,Goulston & Storrs,196380000,998000,69,98397000,928000,133,0.93,190,928000,84,0,64,500000,20,197,106,0,106,0.86,50,500000,41,"The American Lawyer, May 18, 2021",
156,141,Thompson & Knight,195082000,773000,119,76009000,906000,137,1.17,149,745000,116,14839000,130,360000,27.78,252,84,38,122,2.01,39,301000,106,"The American Lawyer, May 18, 2021",
157,151,Carlton Fields,193783000,671000,141,58135000,938000,132,1.4,109,572000,155,40220000,138,340000,29.41,289,62,110,172,3.66,30,201000,171,"The American Lawyer, May 18, 2021",
158,152,Robins Kaplan,191065000,897000,83,93416000,1587000,75,1.77,69,1061000,73,12180000,66,496000,20.16,213,59,41,99,2.62,49,438000,58,"The American Lawyer, May 18, 2021",
159,161,Shutts & Bowen,187143000,667000,142,89398000,1016000,121,1.52,97,596000,145,32831000,93,435000,22.99,281,88,117,205,2.19,48,318000,92,"The American Lawyer, May 18, 2021",
160,,Waller Lansden Dortch & Davis,183179000,716000,133,73272000,1221000,102,1.71,75,593000,148,15130000,135,345000,28.99,256,60,89,149,3.27,40,286000,119,"The American Lawyer, May 18, 2021",
161,162,Allen Matkins Leck Gamble Mallory & Natsis,182364000,1022000,67,80381000,1043000,118,1.02,178,933000,83,16130000,53,541000,18.48,179,77,26,103,1.32,44,450000,53,"The American Lawyer, May 18, 2021",
162,154,Hinshaw & Culbertson,180459000,455000,192,46139000,499000,192,1.1,164,336000,196,36879000,194,210000,47.62,396,92,155,247,3.29,26,116000,193,"The American Lawyer, May 18, 2021",
163,158,Schiff Hardin,173956000,827000,102,62532000,1073000,116,1.3,120,716000,121,30104000,90,440000,22.73,210,58,71,129,2.61,36,297000,108,"The American Lawyer, May 18, 2021",
164,168,"Benesch, Friedlander, Coplan & Aronoff",172131000,686000,138,67204000,1011000,122,1.47,102,629000,136,19668000,133,346000,28.9,251,66,72,138,2.78,39,268000,129,"The American Lawyer, May 18, 2021",
165,163,"Cole, Scott & Kissane",170340000,315000,200,11072000,3691000,17,11.72,1,149000,200,20482000,200,58000,172.41,541,3,209,212,179.33,6,20000,200,"The American Lawyer, May 18, 2021",
166,164,Day Pitney,166780000,643000,151,66481000,770000,152,1.2,142,639000,134,14450000,151,312000,32.05,259,86,40,127,2,40,256000,139,"The American Lawyer, May 18, 2021",
167,171,Goldberg Segalla,158100000,402000,199,23715000,912000,136,2.27,34,261000,199,37620000,196,156000,64.1,393,26,209,235,14.12,15,60000,199,"The American Lawyer, May 18, 2021",
168,165,Eckert Seamans Cherin & Mellott,157422000,523000,183,62422000,473000,197,0.9,193,366000,192,15470000,181,259000,38.61,301,132,81,213,1.28,40,207000,167,"The American Lawyer, May 18, 2021",
169,173,Michael Best & Friedrich,156964000,643000,151,52229000,677000,169,1.05,173,478000,178,20821000,155,299000,33.44,244,77,76,153,2.16,33,214000,160,"The American Lawyer, May 18, 2021",
170,167,Lewis Roca Rothgerber Christie,155774000,728000,129,66298000,668000,173,0.92,192,595000,147,11164000,128,362000,27.62,214,99,31,130,1.16,43,310000,100,"The American Lawyer, May 18, 2021",
171,182,Spencer Fane,152850000,536000,182,46645000,630000,178,1.18,146,483000,175,28680000,174,264000,37.88,285,74,82,156,2.85,31,164000,186,"The American Lawyer, May 18, 2021",This firm's FY 2019 figures were restated.
172,172,"Morris, Manning & Martin",152837000,852000,98,66173000,1414000,83,1.66,81,1022000,76,17420000,74,466000,21.46,179,47,35,82,2.83,43,369000,74,"The American Lawyer, May 18, 2021",
173,169,GrayRobinson,151900000,584000,171,67100000,483000,196,0.83,197,445000,185,5800000,164,280000,35.71,260,139,25,164,0.87,44,258000,136,"The American Lawyer, May 18, 2021",
174,177,Armstrong Teasdale,149239000,567000,178,56185000,730000,160,1.29,123,524000,159,24586000,152,307000,32.57,263,77,77,154,2.42,38,214000,160,"The American Lawyer, May 18, 2021",
175,175,Williams Mullen,147953000,646000,149,62768000,837000,143,1.3,120,520000,161,24527000,119,381000,26.25,229,75,93,168,2.05,42,274000,127,"The American Lawyer, May 18, 2021",This firm's FY 2019 figures were restated.
176,174,Phelps Dunbar,144600000,462000,191,69700000,576000,186,1.25,133,576000,152,0,190,223000,44.84,313,121,0,121,1.59,48,223000,154,"The American Lawyer, May 18, 2021",
177,188,Cole Schotz,143426000,869000,93,75184000,1319000,93,1.52,97,925000,85,14505000,52,544000,18.38,165,57,40,97,1.89,52,456000,50,"The American Lawyer, May 18, 2021",
178,166,Greenspoon Marder,139588000,714000,134,57833000,713000,162,1,182,596000,145,4924000,149,321000,31.15,195,81,24,105,1.41,41,296000,109,"The American Lawyer, May 18, 2021",
179,181,"Smith, Gambrell & Russell",139016000,577000,175,55578000,1011000,122,1.75,73,501000,171,22613000,148,324000,30.86,241,55,101,156,3.38,40,231000,149,"The American Lawyer, May 18, 2021",
180,180,Buckley,138736000,1241000,38,54107000,2517000,42,2.03,47,1824000,40,10640000,44,579000,17.27,112,22,14,36,4.2,39,484000,43,"The American Lawyer, May 18, 2021",
181,178,Pryor Cashman,136308000,814000,107,44382000,1257000,98,1.54,92,847000,101,34311000,73,470000,21.28,168,35,58,93,3.75,33,265000,132,"The American Lawyer, May 18, 2021",
182,179,Porter Wright Morris & Arthur,133460000,657000,145,45593000,670000,172,1.02,178,451000,181,7126000,179,260000,38.46,203,68,49,117,1.99,34,225000,153,"The American Lawyer, May 18, 2021",
183,170,Irell & Manella,132903000,2081000,2,86387000,3348000,23,1.61,88,3348000,16,0,2,1353000,7.39,64,26,0,26,1.47,65,1353000,2,"The American Lawyer, May 18, 2021",
184,186,Robinson & Cole,130246000,604000,166,46141000,679000,168,1.12,162,542000,157,13273000,165,276000,36.23,216,68,42,110,2.17,35,214000,160,"The American Lawyer, May 18, 2021",
185,176,Adams and Reese,129486000,544000,180,51614000,592000,182,1.09,166,458000,179,12819000,167,271000,36.9,238,87,53,141,1.73,40,217000,158,"The American Lawyer, May 18, 2021",
186,189,"Procopio, Cory, Hargreaves & Savitch",125534000,764000,122,50065000,982000,126,1.29,123,766000,110,13497000,114,387000,25.84,164,51,32,83,2.22,40,305000,102,"The American Lawyer, May 18, 2021",
187,185,"Shumaker, Loop & Kendrick",123548000,514000,188,57352000,498000,194,0.97,186,414000,187,14921000,154,301000,33.22,241,115,59,175,1.09,46,238000,146,"The American Lawyer, May 18, 2021",
188,192,Hanson Bridgett,122216000,647000,148,53243000,739000,159,1.14,157,575000,154,9967000,144,334000,29.94,189,72,38,110,1.63,44,282000,121,"The American Lawyer, May 18, 2021",
189,190,Arnall Golden Gregory,120300000,743000,126,54307000,1234000,100,1.66,81,759000,113,20075000,77,459000,21.79,162,44,54,98,2.68,45,335000,83,"The American Lawyer, May 18, 2021",
190,187,Miles & Stockbridge,118531000,580000,172,32795000,586000,185,1.01,180,409000,188,19853000,183,258000,38.76,204,56,73,129,2.65,28,160000,188,"The American Lawyer, May 18, 2021",
191,,Offit Kurman,117500000,506000,190,23148000,594000,181,1.17,149,320000,198,37291000,178,261000,38.31,232,39,150,189,4.95,20,100000,195,"The American Lawyer, May 18, 2021",
192,183,"Curtis, Mallet-Prevost, Colt & Mosle",115000000,432000,196,22020000,759000,154,1.76,71,479000,177,9621000,199,119000,84.03,266,29,37,66,8.17,19,83000,196,"The American Lawyer, May 18, 2021",
193,193,Sherman & Howard,112480000,635000,154,55631000,742000,158,1.17,149,618000,139,8672000,127,363000,27.55,177,75,29,104,1.36,49,314000,94,"The American Lawyer, May 18, 2021",
194,198,Rutan & Tucker,110556000,789000,116,52555000,766000,153,0.97,186,668000,129,6980000,95,425000,23.53,140,69,21,89,1.04,48,375000,72,"The American Lawyer, May 18, 2021",
195,200,Hodgson Russ,110129000,608000,164,46680000,525000,191,0.86,195,449000,182,8918000,152,307000,32.57,181,89,35,124,1.04,42,258000,136,"The American Lawyer, May 18, 2021",
196,194,Sullivan & Worcester,107495000,737000,128,25907000,842000,142,1.14,157,608000,141,23565000,142,339000,29.5,146,31,51,81,3.74,24,178000,183,"The American Lawyer, May 18, 2021",
197,195,"Bond, Schoeneck & King",105984000,445000,194,42591000,352000,200,0.79,199,360000,193,7106000,195,209000,47.85,238,121,17,138,0.97,40,179000,181,"The American Lawyer, May 18, 2021",
198,,FisherBroyles,105237000,423000,197,89342000,359000,199,0.85,196,359000,194,0,131,359000,27.86,249,249,0,249,0,85,359000,75,"The American Lawyer, May 18, 2021",
199,,Herrick Feinstein,104000000,800000,112,30160000,943000,131,1.18,146,709000,122,10944000,150,316000,31.65,130,32,26,58,3.06,29,232000,148,"The American Lawyer, May 18, 2021",
200,197,"Hinckley, Allen & Snyder",103841000,790000,115,36360000,790000,150,1,182,624000,138,15218000,109,392000,25.51,131,46,37,83,1.86,35,277000,125,"The American Lawyer, May 18, 2021",
