2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
19,23,Cooley,1552149000,1448000,21,726134000,3178000,27,2.19,40,2422000,26,68350000,24,741000,13.5,1072,229,100,328,3.69,47,677000,24,"The American Lawyer, May 18, 2021",
20,20,"Paul, Weiss, Rifkind, Wharton & Garrison",1543730000,1518000,16,856301000,5369000,4,3.54,2,5369000,3,0,17,842000,11.88,1017,160,0,160,5.38,55,842000,14,"The American Lawyer, May 18, 2021",
21,21,King & Spalding,1529418000,1255000,35,713446000,3509000,21,2.8,16,1850000,38,190300000,24,741000,13.5,1219,203,285,488,5,47,585000,31,"The American Lawyer, May 18, 2021",
22,17,Mayer Brown,1517100000,900000,82,531600000,2006000,53,2.23,37,1158000,66,229000000,86,451000,22.17,1685,265,392,657,5.36,35,315000,93,"The American Lawyer, May 18, 2021",
23,22,Goodwin Procter,1486263000,1252000,36,722211000,2883000,34,2.3,32,2018000,34,120120000,29,709000,14.1,1187,250,167,417,3.74,49,608000,29,"The American Lawyer, May 18, 2021",
24,30,McDermott Will & Emery,1381814000,1235000,39,519548000,2521000,41,2.04,46,1397000,54,287741000,27,722000,13.85,1119,206,372,578,4.43,38,464000,48,"The American Lawyer, May 18, 2021",
25,28,Covington & Burling,1321296000,1125000,50,605518000,1900000,60,1.69,78,1900000,37,0,58,516000,19.38,1174,319,0,319,2.69,46,516000,39,"The American Lawyer, May 18, 2021",
26,26,Reed Smith,1310596000,811000,109,424269000,1530000,79,1.89,58,912000,88,194166000,115,383000,26.11,1616,277,401,678,4.83,32,263000,133,"The American Lawyer, May 18, 2021",
27,24,Paul Hastings,1310126000,1383000,27,698588000,3903000,16,2.82,15,3075000,19,128459000,13,873000,11.45,947,179,90,269,4.29,53,738000,20,"The American Lawyer, May 18, 2021",
28,25,Quinn Emanuel Urquhart & Sullivan,1301077000,1585000,14,723732000,4669000,7,2.95,9,3359000,15,173247000,4,1093000,9.15,821,155,112,267,4.3,56,882000,11,"The American Lawyer, May 18, 2021",
29,29,Wilmer Cutler Pickering Hale and Dorr,1243384000,1436000,23,636306000,2535000,38,1.77,69,2535000,23,0,26,735000,13.61,866,251,0,251,2.45,51,735000,21,"The American Lawyer, May 18, 2021",
30,35,Milbank,1235499000,1542000,15,727658000,4492000,13,2.91,10,4170000,10,17128000,12,930000,10.75,801,162,17,179,3.94,59,908000,10,"The American Lawyer, May 18, 2021",
31,36,Debevoise & Plimpton,1224942000,1594000,12,648429000,4554000,10,2.86,12,4554000,7,0,15,844000,11.85,769,142,0,142,4.4,53,844000,13,"The American Lawyer, May 18, 2021",
32,27,Cleary Gottlieb Steen & Hamilton,1223119000,1122000,52,621770000,3671000,18,3.27,5,3671000,11,0,49,570000,17.54,1090,169,0,169,5.43,51,570000,33,"The American Lawyer, May 18, 2021",
33,34,Akin,1208738000,1346000,29,520904000,3023000,30,2.25,36,2052000,33,152088000,22,750000,13.33,898,172,156,328,4.21,43,580000,32,"The American Lawyer, May 18, 2021",
34,32,Morrison & Foerster,1165000000,1137000,47,421100000,2240000,49,1.97,52,1658000,45,96300000,63,505000,19.8,1025,188,124,312,4.45,36,411000,64,"The American Lawyer, May 18, 2021",
35,31,"Orrick, Herrington & Sutcliffe",1152850000,1162000,46,285719000,2522000,40,2.17,42,1484000,48,209031000,65,499000,20.04,992,113,220,334,7.76,25,288000,114,"The American Lawyer, May 18, 2021",
36,43,Wilson Sonsini Goodrich & Rosati,1130000000,1285000,32,474800000,3054000,29,2.38,30,2442000,25,105900000,34,660000,15.15,879,155,82,238,4.66,42,540000,35,"The American Lawyer, May 18, 2021",
37,33,Dechert,1071163000,1116000,53,435934000,2831000,36,2.54,24,1827000,39,124803000,43,584000,17.12,960,154,153,307,5.23,41,454000,51,"The American Lawyer, May 18, 2021",
38,38,Holland & Knight,1044337000,901000,80,362397000,1739000,67,1.93,56,934000,82,235114000,58,516000,19.38,1158,208,431,640,4.56,35,313000,95,"The American Lawyer, May 18, 2021",
39,37,Squire Patton Boggs,1042000000,718000,132,207670000,1217000,103,1.69,78,657000,132,107587000,191,217000,46.08,1452,171,309,480,7.51,20,143000,191,"The American Lawyer, May 18, 2021","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
40,39,K&L Gates,1019674000,628000,156,191787000,1150000,108,1.83,64,561000,156,232996000,176,262000,38.17,1623,167,591,757,8.74,19,118000,192,"The American Lawyer, May 18, 2021",This firm's FY 2019 figures were restated.
41,47,"Wachtell, Lipton, Rosen & Katz",1010664000,3645000,1,675023000,7500000,1,2.06,44,7500000,1,0,1,2434000,4.11,277,90,0,90,2.08,67,2434000,1,"The American Lawyer, May 18, 2021",
42,45,Perkins Coie,1001498000,916000,77,271373000,1433000,82,1.56,90,900000,92,177819000,99,411000,24.33,1093,189,310,499,4.77,27,248000,143,"The American Lawyer, May 18, 2021",
43,41,Proskauer Rose,989981000,1354000,28,472700000,2900000,33,2.14,43,2240000,29,73851000,23,748000,13.37,731,163,81,244,3.48,48,647000,26,"The American Lawyer, May 18, 2021",
44,49,Willkie Farr & Gallagher,986000000,1297000,31,566000000,3516000,20,2.71,19,2923000,21,27450000,21,781000,12.8,760,161,42,203,3.72,57,745000,19,"The American Lawyer, May 18, 2021",
45,40,Winston & Strawn,981223000,1179000,43,348027000,2420000,45,2.05,45,1471000,49,151167000,42,600000,16.67,832,144,196,339,4.79,35,418000,62,"The American Lawyer, May 18, 2021",
46,44,Arnold & Porter Kaye Scholer,961900000,1068000,62,399072000,1348000,88,1.26,132,1348000,58,0,88,443000,22.57,901,296,0,296,2.04,41,443000,55,"The American Lawyer, May 18, 2021",
47,,Faegre Drinker Biddle & Reath,937037000,820000,104,349887000,856000,141,1.04,174,759000,113,83743000,120,380000,26.32,1142,409,163,572,1.8,37,306000,101,"The American Lawyer, May 18, 2021","Drinker Biddle & Reath merged with Faegre Baker Daniels on Feb. 1, 2020 to become Faegre Drinker Biddle & Reath. Because this formed a new firm, references to 2019 are listed as N/A. "
