2022 Am Law 100 Rank (FY:2021),2021 Am Law 100 Rank (FY:2020),Firm Name,Location,Gross Revenue,"Net 
Operating
Income",Revenue per Lawyer (RPL),2022 Rank By RPL (FY:2021),2021 Rank By RPL (FY:2020),Profits Per Lawyer (PPL),2022 Rank By PPL (FY:2021),2021 Rank By PPL (FY:2020),Profits Per Equity Partner (PPP),2022 Rank By PPP (FY:2021),2021 Rank By PPP (FY:2020),Profitability Index (API),2022 Rank By API (FY:2021),Profit Margin,"Compensation Average, 
All Partners (CAP)",2022 Rank By CAP (FY:2021),"Compensation 
Non-Equity Partners",Value per Lawyer (VPL) ,2022 Rank By VPL (FY:2021),Lawyers Needed per $10 Million,Cost Per Lawyer (CPL),2022 Rank by CPL (FY:2021),2021 Rank by CPL (FY:2020),Total Personnel,Total Number of Lawyers,Total  Number of Partners,Total Number of Equity Partners,Number of Non-Equity Partners,Leverage,Percentage of Lawyers in US,Total Number of Offices,Source,Notes
45,41,"Wachtell, Lipton, Rosen & Katz",New York,1111730000,764400000,3860000,1,1,2654000,1,1,8400000,1,1,2.18,43,69,8400000,1,0,2654000,1,3.77,1206007,1,1,660,288,91,91,0,2.16,1,1,"The American Lawyer, April 26, 2022",
46,46,Arnold & Porter Kaye Scholer,National,1033000000,446462000,1145000,51,49,495000,43,41,1531000,69,68,1.34,85,43,1531000,47,0,495000,64,20.2,650264,56,50,1728,902,292,292,0,2.09,0.9228,15,"The American Lawyer, April 26, 2022",
47,49,Troutman Pepper,National,1029503000,387319000,918000,69,71,345000,64,58,1386000,75,74,1.51,76,38,1018000,68,100056000,435000,74,22.99,572806,73,81,2108,1121,479,279,199,3.01,1,23,"The American Lawyer, April 26, 2022",
48,48,Foley & Lardner,National,1024834000,273670000,1004000,63,57,268000,80,82,1812000,60,63,1.8,62,27,1111000,61,246478000,509000,60,19.65,735642,40,35,2039,1021,468,151,317,5.76,0.9803,25,"The American Lawyer, April 26, 2022",
49,53,Alston & Bird,Atlanta,1023935000,477976000,1236000,43,47,577000,37,36,3075000,34,39,2.49,31,47,1685000,43,145807000,753000,30,13.28,658862,52,51,1704,829,370,155,215,4.33,0.9653,13,"The American Lawyer, April 26, 2022",
50,51,Shearman & Sterling,International,1012059000,340152000,1391000,32,53,468000,46,74,3005000,38,52,2.16,44,34,2210000,36,77076000,574000,49,17.42,923710,5,20,1539,727,189,113,76,5.43,0.5891,25,"The American Lawyer, April 26, 2022",
51,50,"Sheppard, Mullin, Richter & Hampton",Los Angeles,1005057000,361634000,1198000,48,48,431000,50,49,2259000,49,45,1.89,58,36,1441000,49,184898000,652000,41,15.34,767167,30,30,1599,839,379,160,219,4.24,0.9814,15,"The American Lawyer, April 26, 2022",
52,56,"Cravath, Swaine & Moore",New York,1001000000,562891000,2035000,3,10,1144000,5,14,5803000,7,8,2.85,19,56,5803000,5,0,1144000,7,8.74,890465,8,8,NA,492,97,97,0,4.07,NA,NA,"The American Lawyer, April 26, 2022",
53,47,Faegre Drinker Biddle & Reath,Minneapolis,987708000,381102000,904000,72,72,349000,63,64,984000,93,91,1.09,98,39,867000,79,97579000,438000,73,22.83,554966,77,76,2258,1093,552,387,165,1.82,0.9647,22,"The American Lawyer, April 26, 2022",
54,55,McGuireWoods,"Richmond, Virginia",953548000,388664000,1035000,56,63,422000,52,54,2053000,53,61,1.98,53,41,1235000,57,118896000,551000,53,18.15,613331,62,70,1863,921,411,189,222,3.86,0.9746,20,"The American Lawyer, April 26, 2022",
